Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Spring wOBA
81.4,18,0.15,29.2,87,0.48,5.79,81.4,0.44,-17,0.411
80.5,13,0.14,32.4,90,0.59,5.99,81.1,0.41,-24,0.411
68.3,14,0.15,23.7,87,0.50,3.91,68.3,0.52,-22,0.411
75.1,15,0.13,29.7,96,0.57,5.36,75.1,0.47,-40,0.411
68.9,4,0.13,28.2,88,0.37,4.51,68.9,0.49,-27,0.411
74.2,10,0.14,26.9,85,0.36,4.94,74.2,0.43,-22,0.411
73.9,9,0.14,27.5,87,0.38,4.9,73.9,0.44,-37,0.411
76.9,14,0.14,22.8,88,0.40,5.38,76.9,0.44,-34,0.411
71.1,12,0.14,24.8,98,0.58,4.53,71.1,0.46,-27,0.411
80.4,13,0.14,29.9,92,0.47,5.97,80.4,0.45,-28,0.411
83.3,14,0.14,28.6,81,0.38,6.41,83.3,0.39,-32,0.411
81.6,11,0.14,30.1,92,0.55,6.06,81.6,0.43,-33,0.411
78,11,0.14,30.5,96,0.59,5.71,78,0.44,-36,0.411
74.6,20,0.15,23.9,84,0.46,4.67,74.6,0.44,-37,0.411
66.7,-1,0.16,19,77,0.34,3.56,66.7,0.45,-28,0.161
64.9,-2,0.16,18.2,72,0.28,3.37,64.9,0.45,-20,0.161
68,7,0.18,18,67,0.20,3.25,68,0.41,-8,0.161
67.8,1,0.17,19.7,67,0.23,3.47,67.8,0.41,-32,0.161
66.8,0,0.17,18.9,66,0.29,3.49,67,0.41,-23,0.161
66.2,3,0.18,18.3,64,0.25,3.15,66.2,0.40,-14,0.161
69.2,6,0.18,20.5,70,0.27,3.41,69.2,0.40,-25,0.161
66.4,0,0.17,18.9,69,0.32,3.33,66.4,0.43,-29,0.161
66.5,0,0.17,19.6,64,0.29,3.33,66.5,0.40,-25,0.161
66.5,3,0.17,19.3,71,0.30,3.41,66.5,0.42,-24,0.161
67.4,2,0.18,20.6,64,0.23,3.23,67.4,0.40,-23,0.161
67.2,1,0.18,20.2,74,0.32,3.25,67.2,0.45,-22,0.161
67.8,4,0.19,20.2,62,0.19,3.2,67.8,0.37,-14,0.161
68.4,1,0.19,23,63,0.27,3.2,68.4,0.40,-30,0.161
69.1,2,0.18,20.6,66,0.25,3.47,69.1,0.40,-28,0.161
68.2,-2,0.19,21.9,60,0.26,3.24,68.2,0.38,-31,0.161
68.9,2,0.17,19.3,68,0.25,3.53,68.9,0.40,-19,0.161
